0,1,2,3,4,5,6,7,8,9
0.02,,0.01,,0.01,,0.01,,0.01,
0.02,,0.01,,0.01,,0.01,,0.01,
1.13,0.93,0.01,0.01,0.7,,0.7,0.7,0.68,0.69
0.71,,0.01,0.01,1.3,0.91,0.9,,0.89,
1.15,1.35,0.01,0.01,0.69,0.68,0.92,0.92,1.76,1.96
1.15,,0.7,,1.11,,1.33,,2.3,
1.18,1.18,0.87,1.25,0.88,0.88,0.93,0.93,0.9,0.9
0.9,,1.14,,0.7,0.89,1.11,,1.1,
1.34,1.11,0.91,1.09,0.9,,1.16,,0.66,0.67
1.57,,0.9,,1.12,1.12,0.92,0.73,3.93,
1.37,1.35,1.7,1.29,0.88,0.71,1.16,,2.17,2.36
2.55,,1.36,,1.14,,0.5,0.67,3.91,
0.66,0.5,0.49,0.65,1.32,0.92,0.67,,1.1,0.9
0.32,,1.17,,0.7,0.67,0.91,0.91,0.66,
1.95,1.09,0.87,1.29,1.13,,1.15,,2.34,2.72
2.54,,0.62,,1.11,1.11,0.91,1.28,4.09,
2.37,2.36,0.65,0.65,0.88,0.65,1.16,,1.91,2.33
2.36,,1.56,,0.63,,0.68,0.69,3.89,
0.65,0.48,1.54,1.54,0.68,0.66,0.71,,1.1,1.09
0.69,,1.54,,0.4,0.42,0.91,0.92,0.88,
1.32,1.31,1.34,1.34,1.12,,1.32,,2.92,3.29
1.5,,0.67,,1.1,1.1,0.92,0.92,1.9,
2.15,1.95,0.91,1.37,0.9,0.9,1.15,,2.92,3.12
1.75,,1.3,,1.12,,0.91,0.91,3.3,
2.15,1.95,1.54,1.35,1.11,1.1,1.16,,3.31,3.51
1.75,,1.74,,0.88,0.71,0.92,0.92,4.09,
1.96,1.78,1.34,1.34,0.68,,1.17,,3.54,3.34
1.75,,1.57,,0.89,0.7,1.13,0.94,4.12,
1.78,1.78,1.15,1.14,0.89,0.89,1.18,,3.18,3.38
1.39,,1.36,,1.1,,0.94,0.94,3.76,
2.37,1.77,1.15,1.34,1.1,0.89,3.14,,4.18,4.18
1.57,,1.17,,0.89,0.89,0.71,0.71,4.96,
0.85,0.68,1.35,1.35,1.11,,1.43,,0.85,0.83
0.69,,1.96,,1.11,0.92,0.67,1.01,1.77,
0.65,1.31,1.74,2.32,0.7,0.9,1.18,,1.05,0.86
0.8,,0.83,,0.93,,6.82,1.44,1.49,
1.74,2.12,0.85,1.52,0.73,1.1,2.89,,4.96,4.62
2.11,,0.92,,0.9,1.08,2.17,2.18,5.25,
2.7,1.92,0.7,0.71,1.12,,4.42,,4.47,4.47
2.3,,3.45,,1.1,1.1,0.68,0.68,5.43,
1.39,1.02,1.7,1.88,0.9,0.9,1.37,,2.27,3.34
1.17,,3.82,,1.14,,1.52,1.35,1.85,
1.73,2.11,1.88,2.26,1.12,1.12,2.12,,4.51,12.38
1.71,,0.97,,0.91,0.91,2.38,1.98,5.25,
1.92,2.08,0.44,0.3,2.07,,2.29,,3.26,2.87
1.52,,1.71,,1.12,1.3,1.43,1.62,4.05,
1.49,1.52,2.05,2.06,0.91,1.09,2.13,,3.67,3.85
1.72,,1.69,,0.84,,1.19,1.19,5.47,
1.77,1.98,1.7,1.51,0.87,0.88,1.44,,2.31,1.75
1.08,,2.1,,0.6,0.44,1.88,1.54,1.25,
1.89,1.01,1.69,1.69,0.63,,1.03,,1.41,3.37
0.83,,2.84,,0.93,0.77,2.37,3.63,1.69,
2.29,1.9,2.59,2.24,0.85,0.83,1.54,,3.89,4.47
1.52,,1.12,,4.6,,1.03,1.03,4.28,
1.1,1.11,1.9,1.1,1.46,1.82,2.39,,3.57,3.57
1.74,,1.51,,1.83,1.26,2.21,1.82,4.76,
0.66,0.66,1.87,2.05,2.58,,0.86,,1.21,1.41
0.84,,1.93,,1.64,2.2,1.92,1.56,1.19,
2.2,0.91,0.88,1.07,1.27,1.08,1.84,,2.43,2.08
1.69,,0.81,,1.14,,0.77,0.78,2.01,
2.17,2.15,4.79,2.5,0.96,0.95,1.14,,1.48,1.33
0.96,,1.67,,0.7,0.71,1.7,2.33,1.76,
0.85,0.85,1.47,1.63,3.49,,1.66,,2.34,1.33
1.66,,1.36,,1.65,1.83,0.97,0.78,2.04,
0.66,0.64,1.54,1.24,1.08,2.02,1.28,,1.32,1.33
0.77,,1.81,,1.84,,0.63,0.64,1.83,
0.61,0.61,2.54,2.02,1.47,1.84,0.65,,0.79,0.79
0.62,,0.72,,1.08,1.09,0.43,0.43,0.63,
0.47,0.47,0.9,0.75,2.22,,0.65,,0.59,0.59
0.63,,0.58,,1.47,1.65,0.9,0.9,0.64,
1.32,1.69,0.59,0.74,1.29,2.07,1.73,,3.69,3.69
1.5,,0.6,,2.66,,0.69,0.69,4.26,
0.68,0.68,0.46,0.46,1.85,1.72,0.66,,0.68,0.68
0.96,,1.49,,1.47,1.27,0.71,0.91,0.66,
0.69,1.12,1.47,1.46,1.3,,1.07,,1.68,1.05
0.88,,0.61,,1.28,1.94,0.99,1.17,1.24,
1.52,2.08,0.63,0.67,2.47,4.39,4.91,,1.81,4.9
2.45,,0.87,,1.84,,1.84,2.02,5.47,
2.22,2.02,0.99,2.31,1.64,1.85,4.07,,4.65,4.46
1.47,,2.62,,1.9,1.9,1.28,1.47,4.83,
1.48,1.67,2.05,2.65,2.09,,7.46,,4.46,4.46
1.49,,3.12,,1.48,1.31,1.73,1.93,4.65,
2.32,1.74,1.67,2.41,1.14,1.52,5.03,,5.03,5.03
2.51,,2.77,,0.98,,1.71,1.51,5.82,
2.13,2.69,2.12,1.92,0.83,0.83,4.23,,9.43,6.76
3.08,,3.07,,0.6,0.6,1.91,2.1,5.2,
1.34,1.54,2.7,2.31,1.62,,4.19,,5.5,4.82
1.93,,2.66,,1.96,2.17,117.22,146.53,5.19,
128.53,147.92,2.13,2.13,0.62,0.77,412.04,,597.48,482.64
128.13,,3.45,,1.23,,0.95,0.48,493.05,
138.98,148.84,2.12,3.07,0.75,1.52,0.95,,463.62,462.23
138.98,,226.16,,0.56,0.55,0.95,0.95,482.64,
93.83,94.44,128.93,138.55,1.99,,0.95,,274.12,288.87
269.01,,157.22,,2.01,2.19,0.55,0.95,254.85,
123.28,123.28,148.38,148.38,1.79,0.97,0.95,,109.36,108.5
102.65,,113.41,,0.88,,0.95,0.95,167.31,
63.16,48.64,200.85,200.85,0.58,0.44,0.95,,62.27,106.7
41.92,,86.49,,0.36,0.6,1.11,0.95,49.08,
158.7,139.92,59.72,52.16,0.59,,0.95,,188.45,159.67
180.92,,42.9,,0.59,0.44,0.95,0.95,218.24,
282.23,262.19,47.75,99.58,0.43,0.3,0.95,,496.0,506.27
161.74,,175.19,,0.61,,0.95,0.95,476.61,
162.23,163.3,193.34,190.9,0.63,0.47,1.51,,372.0,319.31
172.5,,191.49,,0.58,0.58,0.55,0.64,475.27,
182.03,151.69,180.92,181.47,1.82,,0.8,,372.0,382.27
171.46,,170.93,,1.27,1.27,0.95,1.43,366.46,
112.67,103.0,90.65,92.55,2.71,2.9,0.8,,561.61,552.7
126.93,,170.41,,0.62,,0.95,0.95,214.85,
73.41,73.09,161.74,161.24,0.65,0.67,0.8,,72.26,80.85
52.84,,192.25,,0.27,0.26,0.95,0.95,89.87,
64.74,65.05,377.71,275.68,0.86,,0.95,,92.97,90.74
70.62,,53.88,,2.2,1.77,0.95,0.95,103.61,
600.45,265.53,71.3,58.03,0.97,0.62,0.95,,552.22,529.37
235.61,,61.25,,3.37,,0.8,1.51,445.81,
86.85,70.61,204.02,205.68,2.06,2.8,0.95,,137.52,117.46
117.06,,170.93,,0.78,0.63,0.77,0.95,109.22,
96.34,105.99,152.15,180.92,1.47,,0.95,,113.79,115.39
104.32,,68.84,,1.47,1.66,0.95,0.37,146.82,
81.64,81.36,156.44,101.25,0.64,0.62,0.95,,448.2,465.66
80.8,,94.05,,2.04,,0.95,0.95,398.99,
92.55,92.85,74.07,74.81,2.22,1.85,1.91,,215.53,196.05
188.47,,120.0,,0.82,0.63,0.8,0.95,472.16,
332.7,251.98,144.51,120.89,2.88,,0.95,,671.54,537.27
251.98,,226.87,,2.11,2.69,0.95,0.8,541.01,
42.47,51.95,318.55,289.76,0.79,0.6,1.32,,88.37,64.53
65.55,,249.67,,2.5,,0.95,0.95,83.41,
74.24,83.41,273.04,333.72,1.92,2.11,0.95,,209.39,189.84
96.73,,68.56,,0.64,0.62,0.95,0.8,130.82,
138.91,139.37,57.46,57.21,3.45,,0.48,,376.73,196.52
206.49,,90.8,,1.73,2.31,0.95,1.75,285.36,
313.43,141.64,264.55,192.53,0.6,0.58,0.95,,454.54,516.54
142.58,,174.13,,295.83,,0.95,0.95,419.75,
126.93,140.35,296.88,398.2,177.5,147.92,0.95,,162.29,182.52
186.13,,201.09,,177.5,,0.95,0.95,330.85,
42.87,48.86,207.73,172.42,137.69,157.71,0.95,,64.77,61.73
42.29,,136.32,,360.16,,1.14,0.95,47.53,
162.23,221.06,343.2,684.38,313.9,331.72,0.95,,444.27,466.62
224.56,,36.41,,44.38,,0.95,0.95,427.53,
160.75,245.78,36.22,35.08,67.68,91.41,0.95,,453.18,453.18
180.36,,334.73,,44.66,,0.95,0.37,285.14,
189.15,199.24,114.14,113.04,39.05,39.27,0.64,,108.85,126.62
110.76,,230.53,,204.39,,1.14,0.95,173.45,
156.73,136.32,341.0,319.31,160.75,135.46,0.95,,375.51,276.51
99.84,,106.2,,179.81,,0.8,0.95,163.83,
96.39,106.2,234.19,283.3,210.43,201.09,0.95,,160.72,144.58
78.49,,86.85,,171.46,,0.95,0.55,112.52,
183.23,202.94,81.64,83.07,180.92,180.92,0.95,,407.11,357.22
204.27,,90.8,,169.89,,0.95,0.95,367.57,
54.82,57.48,55.72,62.27,159.27,190.32,1.14,,66.29,66.54
52.59,,191.49,,161.77,,0.8,0.9,69.12,
182.58,182.58,260.59,242.7,149.67,180.08,0.95,,401.8,422.27
147.92,,54.17,,55.69,,0.95,0.95,235.19,
56.58,56.15,39.05,53.39,80.34,87.6,1.32,,58.12,57.48
57.91,,146.53,,70.16,,0.95,0.95,50.08,
173.12,162.8,95.73,106.11,110.18,112.72,0.95,,482.64,482.64
162.8,,46.08,,334.73,,0.95,0.64,449.12,
146.99,162.23,51.95,49.97,171.98,233.37,0.95,,120.73,130.57
128.13,,151.23,,60.99,,0.95,1.14,297.68,
72.38,98.82,306.31,317.4,155.32,173.25,0.95,,151.15,123.6
114.59,,165.52,,105.33,,0.95,0.95,193.28,
80.53,117.06,243.26,229.82,204.76,170.07,0.95,,80.53,152.69
72.38,,117.34,,132.29,,0.95,0.95,135.6,
256.73,246.52,103.18,111.32,120.43,225.21,0.95,,478.34,571.94
287.54,,69.34,,330.67,,1.14,0.95,441.62,
51.19,51.59,59.67,59.23,146.63,134.21,0.95,,62.57,71.64
61.89,,203.65,,251.21,,0.95,0.8,89.42,
78.82,60.99,252.75,209.13,241.23,241.96,0.95,,101.25,80.2
89.42,,58.37,,70.82,,0.95,0.95,213.88,
298.84,267.13,59.23,75.95,60.21,60.75,0.95,,611.66,378.85
251.98,,162.05,,92.55,,0.95,0.95,323.47,
183.78,183.78,57.05,65.31,91.13,90.8,0.95,,473.85,545.9
122.52,,180.36,,193.18,,0.95,0.95,459.46,
128.93,87.92,167.5,208.68,386.68,237.74,0.95,,214.06,196.05
95.37,,141.64,,222.41,,0.95,0.95,134.6,
46.08,53.06,253.52,263.8,182.03,283.09,0.95,,53.28,53.92
59.02,,113.04,,204.39,,0.95,0.95,59.67,
216.35,110.02,106.45,106.11,111.13,127.48,0.95,,461.54,440.69
165.27,,55.03,,44.44,,1.69,0.95,466.62,
184.34,173.64,56.36,54.82,40.89,39.99,0.95,,432.71,453.18
163.3,,215.71,,162.23,,0.77,0.95,409.57,
59.23,50.64,297.06,297.95,204.27,101.25,0.95,,60.56,60.13
69.58,,152.15,,178.61,,0.95,0.95,87.52,
196.27,216.35,274.84,285.82,204.89,154.68,0.95,,156.44,118.66
166.33,,57.26,,106.57,,0.95,0.95,421.01,
70.36,70.36,55.93,57.26,148.11,147.12,0.95,,322.34,330.53
72.62,,162.8,,87.83,,0.95,1.14,81.36,
72.38,72.13,292.0,78.49,118.66,136.06,0.95,,59.45,67.82
95.65,,70.12,,92.89,,0.95,,70.12,
139.49,,64.53,64.77,66.29,58.12,0.95,,282.23,
62.32,,57.26,,211.07,,1.11,,77.94,
68.06,,67.08,57.05,150.77,124.46,0.95,,77.11,
128.53,,139.49,,49.08,,0.95,,223.92,
95.65,,57.91,,39.82,38.5,0.95,,68.84,
140.35,,63.79,,195.44,,0.95,,271.38,
162.23,,124.86,,145.53,135.46,0.95,,410.81,
141.64,,65.8,,63.01,,0.95,,419.75,
161.74,,179.26,,65.8,66.05,0.95,,418.49,
222.41,,160.75,,161.24,,0.77,,418.49,
69.58,,149.84,,152.15,162.23,0.95,,104.66,
142.58,,348.42,,135.46,,0.8,,484.09,
171.46,,170.41,,153.2,198.52,0.95,,267.91,
70.36,,73.69,,85.26,,0.77,,141.54,
144.14,,151.69,,139.0,122.16,0.95,,190.3,
57.95,,180.36,,114.19,,0.95,,136.57,
207.08,,133.49,,60.13,68.31,0.95,,502.16,
439.71,,183.69,,231.95,,0.95,,176.48,
356.15,,45.31,,173.64,184.34,0.95,,440.3,
194.72,,248.18,,59.92,,0.95,,245.69,
188.47,,311.66,,68.6,59.92,0.95,,283.95,
161.74,,374.1,,103.55,,0.95,,422.27,
160.75,,229.03,,69.58,121.73,0.95,,421.01,
160.26,,226.16,,230.53,,0.95,,460.85,
160.26,,150.3,,346.09,460.85,0.95,,471.02,
118.33,,178.05,,140.78,,0.55,,221.74,
93.83,,138.98,,172.5,162.23,0.95,,114.14,
59.67,,158.7,,94.14,,0.95,,59.67,
224.56,,150.77,,95.06,95.37,0.95,,426.27,
200.47,,100.91,,56.36,,0.95,,400.6,
137.69,,55.72,,79.93,66.05,0.95,,241.23,
61.68,,292.44,,152.69,,0.65,,70.61,
65.88,,237.41,,164.28,158.21,0.95,,113.04,
82.19,,125.66,,190.32,,0.95,,285.11,
617.31,,75.12,,152.15,162.23,0.95,,258.06,
63.44,,82.51,,66.83,,0.95,,91.93,
201.7,,131.82,,57.48,58.37,0.95,,458.83,
54.39,,224.74,,140.35,,0.8,,218.57,
250.44,,78.22,,114.59,98.48,0.95,,503.25,
251.19,,219.03,,70.61,,0.95,,440.09,
1185.96,,112.23,,95.06,103.0,0.95,,453.18,
286.93,,168.23,,67.08,,0.37,,194.72,
221.06,,236.6,,59.02,58.8,0.95,,463.62,
187.88,,467.93,,138.98,,0.64,,229.82,
83.9,,174.64,,59.92,,0.64,,176.48,
59.67,,367.08,,65.31,,0.95,,69.09,
79.09,,175.19,,134.6,,0.95,,80.53,
183.23,,81.08,,67.08,,0.77,,1425.81,
220.37,,56.15,,127.73,,1.27,,258.63,
214.13,,66.54,,149.38,,0.95,,135.47,
100.51,,170.93,,129.4,,0.8,,217.69,
162.23,,195.76,,168.75,,0.95,,463.62,
208.69,,167.95,,128.53,,0.95,,281.36,
138.98,,157.63,,67.08,,0.95,,589.17,
163.3,,140.78,,149.38,,0.48,,523.86,
173.64,,205.79,,147.92,,0.55,,463.62,
213.77,,276.91,,67.82,,0.64,,462.23,
65.8,,182.03,,774.1,,1.11,,73.69,
220.04,,141.64,,68.23,,0.95,,129.28,
47.59,,201.7,,171.46,,,,52.59,
,,45.34,,210.43,,,,,
,,114.59,,180.36,,,,,
,,42.66,,114.51,,,,,
,,,,185.54,,,,,
,,,,138.98,,,,,
,,,,128.13,,,,,
,,,,127.73,,,,,
,,,,127.73,,,,,
,,,,106.45,,,,,
,,,,101.93,,,,,
,,,,57.05,,,,,
,,,,229.11,,,,,
,,,,304.68,,,,,
,,,,106.11,,,,,
,,,,59.45,,,,,
,,,,83.34,,,,,
,,,,169.26,,,,,
,,,,263.76,,,,,
,,,,70.36,,,,,
,,,,137.69,,,,,
,,,,124.14,,,,,
,,,,284.25,,,,,
,,,,241.07,,,,,
,,,,245.69,,,,,
,,,,183.11,,,,,
,,,,157.22,,,,,
,,,,135.46,,,,,
,,,,317.35,,,,,
,,,,74.24,,,,,
,,,,59.02,,,,,
,,,,198.52,,,,,
,,,,158.54,,,,,
,,,,139.24,,,,,
,,,,159.3,,,,,
,,,,128.53,,,,,
,,,,232.11,,,,,
,,,,559.28,,,,,
,,,,198.52,,,,,
,,,,187.88,,,,,
,,,,128.53,,,,,
,,,,54.17,,,,,
,,,,89.42,,,,,
,,,,50.4,,,,,
